source_id,iso3_country,original_inventory_sector,start_time,end_time,temporal_granularity,gas,emissions_quantity,emissions_factor,emissions_factor_units,capacity,capacity_units,capacity_factor,activity,activity_units,created_date,modified_date,source_name,source_type,lat,lon,geometry_ref
25486989,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,,,,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 2 Mine,iron-mine,-22.434706,117.370166,trace_117.370166_-22.434706
25486989,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,ch4,,,,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 2 Mine,iron-mine,-22.434706,117.370166,trace_117.370166_-22.434706
25486989,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 2 Mine,iron-mine,-22.434706,117.370166,trace_117.370166_-22.434706
25486989,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,n2o,,,,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 2 Mine,iron-mine,-22.434706,117.370166,trace_117.370166_-22.434706
25486989,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,,,,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 2 Mine,iron-mine,-22.434706,117.370166,trace_117.370166_-22.434706
25486989,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 2 Mine,iron-mine,-22.434706,117.370166,trace_117.370166_-22.434706
25486989,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,co2e_100yr,,,,,N/A,,,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 2 Mine,iron-mine,-22.434706,117.370166,trace_117.370166_-22.434706
25486990,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_20yr,383597,,,,N/A,,72256072,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 4 Mine,iron-mine,-22.59706187,117.1717974,trace_117.1717974_-22.59706187
25486990,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_20yr,296250,,,,N/A,,72256072,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 4 Mine,iron-mine,-22.59706187,117.1717974,trace_117.1717974_-22.59706187
25486990,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2e_100yr,296250,,,,N/A,,72256072,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 4 Mine,iron-mine,-22.59706187,117.1717974,trace_117.1717974_-22.59706187
25486990,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,n2o,,,,,N/A,,72256072,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 4 Mine,iron-mine,-22.59706187,117.1717974,trace_117.1717974_-22.59706187
25486990,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,ch4,,,,,N/A,,72256072,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 4 Mine,iron-mine,-22.59706187,117.1717974,trace_117.1717974_-22.59706187
25486990,AUS,iron-mining,2020-01-01 00:00:00,2020-12-31 00:00:00,annual,co2,296250,0.0041,T of CO2 per T of iron extracted,,N/A,,72256072,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 4 Mine,iron-mine,-22.59706187,117.1717974,trace_117.1717974_-22.59706187
25486990,AUS,iron-mining,2022-01-01 00:00:00,2022-12-31 00:00:00,annual,ch4,,,,,N/A,,72256072,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 4 Mine,iron-mine,-22.59706187,117.1717974,trace_117.1717974_-22.59706187
25486990,AUS,iron-mining,2021-01-01 00:00:00,2021-12-31 00:00:00,annual,co2e_100yr,383597,,,,N/A,,72256072,T of iron,2023-11-01 00:00:00,2023-11-02 17:00:00,Brockman 4 Mine,iron-mine,-22.59706187,117.1717974,trace_117.1717974_-22.59706187
