iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
FJI,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_100yr,456,tonnes,annual,2023-10-03 21:10:31.503807,2023-11-02 13:52:59.947905
FJI,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_20yr,456,tonnes,annual,2023-10-03 21:10:31.503814,2023-11-02 13:52:59.947905
GHA,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2,101765,tonnes,annual,2023-10-03 21:10:31.553318,2023-11-02 13:53:00.017128
GHA,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_100yr,101765,tonnes,annual,2023-10-03 21:10:31.553349,2023-11-02 13:53:00.017128
GHA,2017-01-01 00:00:00,2017-12-31 00:00:00,bauxite-mining,co2e_20yr,101765,tonnes,annual,2023-10-03 21:10:31.553357,2023-11-02 13:53:00.017128
GHA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2,69658,tonnes,annual,2023-10-03 21:10:31.553871,2023-11-02 13:53:00.017128
GHA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_100yr,69658,tonnes,annual,2023-10-03 21:10:31.553903,2023-11-02 13:53:00.017128
GHA,2018-01-01 00:00:00,2018-12-31 00:00:00,bauxite-mining,co2e_20yr,69658,tonnes,annual,2023-10-03 21:10:31.553911,2023-11-02 13:53:00.017128
GHA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2,82680,tonnes,annual,2023-10-03 21:10:31.555402,2023-11-02 13:53:00.017128
GHA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_100yr,82680,tonnes,annual,2023-10-03 21:10:31.555435,2023-11-02 13:53:00.017128
GHA,2019-01-01 00:00:00,2019-12-31 00:00:00,bauxite-mining,co2e_20yr,82680,tonnes,annual,2023-10-03 21:10:31.555443,2023-11-02 13:53:00.017128
GHA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2,68900,tonnes,annual,2023-10-03 21:10:31.556074,2023-11-02 13:53:00.017128
GHA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2e_100yr,68900,tonnes,annual,2023-10-03 21:10:31.556107,2023-11-02 13:53:00.017128
GHA,2020-01-01 00:00:00,2020-12-31 00:00:00,bauxite-mining,co2e_20yr,68900,tonnes,annual,2023-10-03 21:10:31.556114,2023-11-02 13:53:00.017128
GHA,2022-01-01 00:00:00,2022-12-31 00:00:00,bauxite-mining,co2,97586,tonnes,annual,2023-10-03 21:10:31.557296,2023-11-02 13:53:00.017128
GHA,2022-01-01 00:00:00,2022-12-31 00:00:00,bauxite-mining,co2e_100yr,97586,tonnes,annual,2023-10-03 21:10:31.557329,2023-11-02 13:53:00.017128
GHA,2022-01-01 00:00:00,2022-12-31 00:00:00,bauxite-mining,co2e_20yr,97586,tonnes,annual,2023-10-03 21:10:31.557337,2023-11-02 13:53:00.017128
