iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AGO,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.021914,
AGO,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2e_100yr,413,tonnes,annual,2023-10-03 21:10:31.021923,
AGO,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2e_20yr,413,tonnes,annual,2023-10-03 21:10:31.02193,
AGO,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2,430,tonnes,annual,2023-10-03 21:10:31.02283,
AGO,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.022847,
AGO,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.022857,
AGO,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2e_100yr,430,tonnes,annual,2023-10-03 21:10:31.022866,
AGO,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2e_20yr,430,tonnes,annual,2023-10-03 21:10:31.022873,
AGO,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2,447,tonnes,annual,2023-10-03 21:10:31.02343,
AGO,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.023456,
AGO,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.023466,
AGO,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2e_100yr,447,tonnes,annual,2023-10-03 21:10:31.023474,
AGO,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2e_20yr,447,tonnes,annual,2023-10-03 21:10:31.023482,
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2,474,tonnes,annual,2023-10-03 21:10:31.024038,
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.024054,
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.024064,
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2e_100yr,474,tonnes,annual,2023-10-03 21:10:31.024072,
AGO,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2e_20yr,474,tonnes,annual,2023-10-03 21:10:31.02408,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2,493,tonnes,annual,2023-10-03 21:10:31.024622,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.024637,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.024647,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_100yr,493,tonnes,annual,2023-10-03 21:10:31.024656,
AGO,2021-01-01 00:00:00,2021-12-31 00:00:00,rock-quarrying,co2e_20yr,493,tonnes,annual,2023-10-03 21:10:31.024663,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,co2,513,tonnes,annual,2023-10-03 21:10:31.025333,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.025361,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.025377,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,co2e_100yr,513,tonnes,annual,2023-10-03 21:10:31.025391,
AGO,2022-01-01 00:00:00,2022-12-31 00:00:00,rock-quarrying,co2e_20yr,513,tonnes,annual,2023-10-03 21:10:31.025403,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.026346,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.026365,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.026375,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.026387,
AIA,2015-01-01 00:00:00,2015-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.026418,
AIA,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.027151,
AIA,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.027179,
AIA,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.027198,
AIA,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.027214,
AIA,2016-01-01 00:00:00,2016-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.027229,
AIA,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.028142,
AIA,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.028159,
AIA,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.028171,
AIA,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.028188,
AIA,2017-01-01 00:00:00,2017-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.0282,
AIA,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.028901,
AIA,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.028919,
AIA,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.028928,
AIA,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.028937,
AIA,2018-01-01 00:00:00,2018-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.028945,
AIA,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.029562,
AIA,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.029578,
AIA,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.029588,
AIA,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.029596,
AIA,2019-01-01 00:00:00,2019-12-31 00:00:00,rock-quarrying,co2e_20yr,0,tonnes,annual,2023-10-03 21:10:31.029604,
AIA,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2,0,tonnes,annual,2023-10-03 21:10:31.030229,
AIA,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,ch4,,tonnes,annual,2023-10-03 21:10:31.030262,
AIA,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,n2o,,tonnes,annual,2023-10-03 21:10:31.030284,
AIA,2020-01-01 00:00:00,2020-12-31 00:00:00,rock-quarrying,co2e_100yr,0,tonnes,annual,2023-10-03 21:10:31.030299,
