"ISO3","Annee","Emission annuelle","Somme des emissions","percentage"
"THA",2017,283347620,10191,0.00359664217401932
"THA",2018,288346340,11652,0.0040409737817376145
"THA",2019,281870340,10325,0.003663031732959204
"THA",2020,271852000,10879,0.004001809808278033
"THA",2021,267219020,9261,0.0034656964163703617
"THA",2022,270746370,9123,0.0033695742624360947
"TGO",2015,1863341,2030,0.10894409557885541
"TGO",2016,2311978,1693,0.0732273403985678
"TGO",2017,1991390,1693,0.08501599385353949
"TGO",2018,2165189,1693,0.07819178833810814
"TGO",2019,2414997,1693,0.07010360675396285
"TGO",2020,2381218,1693,0.07109806829950051
"TGO",2021,2555860,2337,0.09143693316535334
"TGO",2022,2575560,2567,0.09966764509465903
"TON",2015,117248,0,0
"TON",2016,124576,0,0
"TON",2017,135568,0,0
"TON",2018,135568,0,0
"TON",2019,161216,0,0
"TON",2020,183200,0,0
"TON",2021,191163,0,0
"TON",2022,189008,0,0
"TTO",2015,45559680,0,0
"TTO",2016,39893100,0,0
"TTO",2017,40317892,0,0
"TTO",2018,40327880,0,0
"TTO",2019,40782852,0,0
"TTO",2020,35029664,0,0
"TTO",2021,35532470,0,0
"TTO",2022,34331736,0,0
"TUN",2015,31418044,8009,0.02549172061761706
"TUN",2016,30591786,8009,0.02618023020950787
"TUN",2017,31271626,6744,0.021565875723891043
"TUN",2018,31134054,8430,0.02707646103523814
"TUN",2019,30353464,8430,0.027772777433244526
"TUN",2020,28493462,8093,0.028403006977530496
"TUN",2021,35244284,9066,0.02572332012759856
"TUN",2022,35576780,9403,0.026430160346158364
"TUR",2015,384929660,857739,0.2228300619910661
"TUR",2016,405950200,790053,0.19461820686379758
"TUR",2017,430900860,891894,0.20698357390143057
"TUR",2018,422058620,901862,0.21368169189388905
"TUR",2019,402692260,1090206,0.2707293157310746
"TUR",2020,412926880,1212898,0.2937319072083658
"TUR",2021,452702800,1398604,0.3089452947938471
"TUR",2022,435684600,1041383,0.23902221928431716
"TKM",2015,64322776,0,0
"TKM",2016,64450340,0,0
"TKM",2017,64359890,0,0
"TKM",2018,63760204,0,0
"TKM",2019,65324644,0,0
"TKM",2020,67697480,0,0
"TKM",2021,69974744,0,0
"TKM",2022,70958350,0,0
"TCA",2015,311440,0,0
"TCA",2016,329760,0,0
"TCA",2017,351744,0,0
"TCA",2018,362736,0,0
"TCA",2019,362736,0,0
"TCA",2020,359072,0,0
"TCA",2021,346011,0,0
"TCA",2022,349200,0,0
"TUV",2015,10992,0,0
"TUV",2016,10992,0,0
"TUV",2017,10992,0,0
"TUV",2018,10992,0,0
"TUV",2019,10992,0,0
"TUV",2020,10992,0,0
"TUV",2021,11470,0,0
"TUV",2022,11340,0,0
"UGA",2015,4525570,34962,0.7725435690973734
"UGA",2016,4795435,66185,1.3801667627650047
"UGA",2017,5387882,39287,0.7291733560608789
"UGA",2018,5523001,35005,0.6338039772218039
"UGA",2019,5731925,40701,0.7100755854272344
"UGA",2020,5538408,40042,0.7229875444351518
"UGA",2021,6052755,41000,0.6773774917372337
"UGA",2022,6021782,41848,0.6949437890644331
"UKR",2015,223787570,3304890,1.4767978400230184
"UKR",2016,233961020,3106105,1.3276164550829879
"UKR",2017,223080820,2992382,1.3413891880081847
"UKR",2018,231663820,2991145,1.2911575920659513
"UKR",2019,221943170,3122349,1.406823647693236
"UKR",2020,206823860,1562172,0.7553151749512846
"UKR",2021,210153310,1271138,0.6048622312920029
"UKR",2022,141253000,558495,0.39538629268050945
"ARE",2015,225683650,0,0
"ARE",2016,226604720,0,0
"ARE",2017,212490380,0,0
"ARE",2018,209278510,0,0
"ARE",2019,219556580,0,0
"ARE",2020,216768320,0,0
"ARE",2021,237248980,0,0
"ARE",2022,243895220,0,0
"GBR",2015,422460800,17616,0.004169854339148153
"GBR",2016,399430140,19362,0.004847405856753824
"GBR",2017,387367140,20315,0.005244378756546051
"GBR",2018,379729760,21807,0.0057427682254875155
"GBR",2019,364753280,21953,0.006018588784177623
"GBR",2020,326263200,23546,0.007216872757945119
"GBR",2021,347465060,24657,0.0070962530736183955
"GBR",2022,318654370,25769,0.008086818329213562
"USA",2015,5376473000,3969763,0.07383582136467533
"USA",2016,5252932000,3791503,0.07217879462365018
"USA",2017,5212162000,3938924,0.07557178767659178
"USA",2018,5377797000,3982718,0.0740585410717437
"USA",2019,5262145000,3885581,0.07384024955602705
"USA",2020,4714628000,14077085,0.29858315438673
"USA",2021,5032213000,14724193,0.29259876320815514
"USA",2022,5057303600,14054892,0.2779127596769156
"URY",2015,6742026,387,0.005740114321718724
"URY",2016,6521229,163,0.002499528846479705
"URY",2017,6162573,155,0.002515183187282325
"URY",2018,6570970,221,0.0033632781765858006
"URY",2019,6489942,229,0.00352853692683232
"URY",2020,6477168,146,0.0022540715324969184
"URY",2021,8102205.5,237,0.0029251294601204576
"URY",2022,7893098,250,0.003167324160931487
"UZB",2015,103695920,772660,0.7451209266478372
"UZB",2016,110139080,765010,0.6945854278063699
"UZB",2017,108930904,765011,0.7022901416479569
"UZB",2018,102288104,879761,0.8600814421196037
"UZB",2019,108429080,994512,0.91720044106249
"UZB",2020,109631970,1091272,0.9953957773448749
"UZB",2021,116387944,1575716,1.3538481270878022
"UZB",2022,120610190,1837362,1.5233886954327822
"VUT",2015,135568,0,0
"VUT",2016,150224,0,0
"VUT",2017,142896,0,0
"VUT",2018,179536,0,0
"VUT",2019,164880,0,0
"VUT",2020,201520,0,0
"VUT",2021,210280,0,0
