iso3_country,start_time,end_time,original_inventory_sector,gas,emissions_quantity,emissions_quantity_units,temporal_granularity,created_date,modified_date
AUT,2020-01-01 00:00:00,2020-12-31 00:00:00,iron-mining,co2e_100yr,119699,tonnes,annual,2023-10-03 21:13:22.919856,2023-11-02 13:53:01.554804
AUT,2020-01-01 00:00:00,2020-12-31 00:00:00,iron-mining,co2e_20yr,119699,tonnes,annual,2023-10-03 21:13:22.919864,2023-11-02 13:53:01.554804
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2,135227,tonnes,annual,2023-10-03 21:13:22.920353,2023-11-02 13:53:01.554804
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_100yr,135227,tonnes,annual,2023-10-03 21:13:22.920383,2023-11-02 13:53:01.554804
AUT,2021-01-01 00:00:00,2021-12-31 00:00:00,iron-mining,co2e_20yr,135227,tonnes,annual,2023-10-03 21:13:22.920402,2023-11-02 13:53:01.554804
AUT,2022-01-01 00:00:00,2022-12-31 00:00:00,iron-mining,co2,138615,tonnes,annual,2023-10-03 21:13:22.920891,2023-11-02 13:53:01.554804
AUT,2022-01-01 00:00:00,2022-12-31 00:00:00,iron-mining,co2e_100yr,138615,tonnes,annual,2023-10-03 21:13:22.920921,2023-11-02 13:53:01.554804
AUT,2022-01-01 00:00:00,2022-12-31 00:00:00,iron-mining,co2e_20yr,138615,tonnes,annual,2023-10-03 21:13:22.920931,2023-11-02 13:53:01.554804
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,iron-mining,co2,5670,tonnes,annual,2023-10-03 21:13:22.921503,2023-11-02 13:53:01.554804
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,iron-mining,co2e_100yr,5670,tonnes,annual,2023-10-03 21:13:22.921534,2023-11-02 13:53:01.554804
AZE,2015-01-01 00:00:00,2015-12-31 00:00:00,iron-mining,co2e_20yr,5670,tonnes,annual,2023-10-03 21:13:22.921541,2023-11-02 13:53:01.554804
AZE,2016-01-01 00:00:00,2016-12-31 00:00:00,iron-mining,co2,1152,tonnes,annual,2023-10-03 21:13:22.922044,2023-11-02 13:53:01.554804
AZE,2016-01-01 00:00:00,2016-12-31 00:00:00,iron-mining,co2e_100yr,1152,tonnes,annual,2023-10-03 21:13:22.922075,2023-11-02 13:53:01.554804
AZE,2016-01-01 00:00:00,2016-12-31 00:00:00,iron-mining,co2e_20yr,1152,tonnes,annual,2023-10-03 21:13:22.922082,2023-11-02 13:53:01.554804
BIH,2016-01-01 00:00:00,2016-12-31 00:00:00,iron-mining,co2,94433,tonnes,annual,2023-10-03 21:13:22.970859,2023-11-02 13:53:03.740685
BIH,2016-01-01 00:00:00,2016-12-31 00:00:00,iron-mining,co2e_100yr,94433,tonnes,annual,2023-10-03 21:13:22.97089,2023-11-02 13:53:03.740685
BIH,2016-01-01 00:00:00,2016-12-31 00:00:00,iron-mining,co2e_20yr,94433,tonnes,annual,2023-10-03 21:13:22.970897,2023-11-02 13:53:03.740685
BIH,2017-01-01 00:00:00,2017-12-31 00:00:00,iron-mining,co2,87426,tonnes,annual,2023-10-03 21:13:22.971393,2023-11-02 13:53:03.740685
BIH,2017-01-01 00:00:00,2017-12-31 00:00:00,iron-mining,co2e_100yr,87426,tonnes,annual,2023-10-03 21:13:22.971424,2023-11-02 13:53:03.740685
BIH,2017-01-01 00:00:00,2017-12-31 00:00:00,iron-mining,co2e_20yr,87426,tonnes,annual,2023-10-03 21:13:22.971432,2023-11-02 13:53:03.740685
BIH,2018-01-01 00:00:00,2018-12-31 00:00:00,iron-mining,co2,74382,tonnes,annual,2023-10-03 21:13:22.971918,2023-11-02 13:53:03.740685
